DF_UID,roof_tilt,roof_aspect,roof_area,roof_x,roof_y,SIS,SISDIR,DHI,horizon_S,horizon_SSW,horizon_SWW,horizon_W,horizon_NWW,horizon_SSE,horizon_SEE,horizon_E,horizon_NEE,tilted_radiation
6247159,34,79.0,7.224729565857996,578296.25,183962.671875,1259.9265035032852,716.7972052006401,543.0985669703404,1.3137580156326298,7.070483684539791,16.9683589935303,19.4357070922852,52.22766494750979,0.0,0.0,5.20932960510254,38.20627975463871,1197
9411565,21,-20.0,10.922638822155347,573841.0,108043.375,1370.0355844151195,846.3968799015947,523.5904190199435,0.0,0.0396732017397881,0.0,0.0,0.0,0.39035388827323897,0.0,0.0,0.0,1564
7210258,17,141.0,31.45070786283967,570762.3125,169790.609375,1320.309629740091,748.6475534102814,571.6352918869234,23.528575181961106,22.5453496053815,55.139160633087215,57.4482002258301,48.4122569561005,31.0130356550217,35.95585227012629,28.3531963825226,17.5733032971621,713
6268440,0,0.0,33.59980540496963,574475.9375,185319.546875,1290.9681125738593,736.364775549691,554.5817969085932,12.746566242641899,10.799696286519401,2.8800898392995204,4.70054083400303,5.6315578884548625,15.388634045918801,20.3016277949015,8.099363327026369,2.9779952896965898,1172
4939889,26,70.0,24.769253478594152,491820.6875,110827.90625,1324.7819328265687,787.7965573305028,536.9093430197238,24.62517388661705,18.065359274546303,1.81611430644989,0.0,11.4512867927551,16.802284797032698,11.5515375932058,15.7541598876317,15.3245163510243,1313
7318455,35,-99.0,49.147326218474255,553348.625,156187.265625,1338.642200793181,795.8788042950357,542.7140721533399,19.203609943389896,25.722688978368602,25.644319295883196,24.5984634865414,8.39887467297641,18.01667861504989,6.4814904277974925,5.44424006071958,1.98582652211189,1193
4643318,30,36.0,30.108719966853624,527354.25,153329.40625,1358.1120638836771,821.6276811857649,536.4448344277832,7.217429229191369,0.6907275744846889,0.0,0.347682884761265,25.698527199881397,2.47417615753199,11.1393274579729,33.5681027003697,30.1455020223345,1560
6248165,1,-98.0,45.18458555540223,578590.75,183880.3125,1259.9265035032852,716.7972052006398,543.0985669703404,56.7555940945943,48.9904791514079,43.8916063308716,39.5866071383158,39.801597595214794,55.2370106379191,47.370195229848214,25.1125549872716,17.1984579960505,276
6364386,17,-158.0,49.6454039688871,588109.1875,191501.828125,1278.4372927835518,730.2511564769369,548.1394409187108,12.4237222671509,7.901210069656369,0.0,4.1908356149991395,2.2286658684412597,1.61846649646759,2.92473965883255,3.53101994593938,1.54112780094147,1080
5443882,9,-53.0,12.272148566703072,569501.625,229181.734375,1241.6040052025055,662.6694461906658,578.9543485899916,8.43239688873291,6.3478531837463406,0.07951612770557401,0.0,0.0,9.26182746887207,11.296823978424099,13.693004608154302,19.3444919586182,1279
7786810,21,-4.0,42.756986572336366,566477.0,118770.671875,1285.728302830216,748.9217557902223,536.7416027578706,0.3849125053733585,0.0,4.4474756240844675,3.7865343809127796,31.1409515380859,0.0,0.403834673762321,1.89967441707849,2.83044696450233,1395
9363625,38,168.0,70.44303231258084,565611.5625,100839.1015625,1383.7830003404092,776.6483145600281,607.1440583112316,24.56646316448845,21.9821733474731,17.4895247459412,15.8780996640523,7.661730702718098,24.544618914524694,15.102557182312,3.1504479706287403,2.5363004843394,666
