#,@@ORI@@,@@WINS@@,@@RSA@@,@@OVER@@,@@HS@@,@@LIGHTS@@,Electricity:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),ZONE ONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](RunPeriod)
268,63.00980443,0.067120967,0.465295864,1.112107317,20.67780876,930.4867014,9845591446,63230449672,258347935.5,4714.75
269,63.8207461,0.084858612,0.635287553,0.158170388,18.06824702,983.0937267,10402232694,39634358814,564230286.2,6847.25
270,24.83315794,0.056685803,0.634376097,0.280759628,17.23259616,954.446529,10099113257,30908010394,517566585.2,6778.75
271,6.0565695,0.043871048,0.620559175,0.664559905,17.2752631,1160.848523,12283077522,29573085691,495302313.5,6727.25
272,10.20712699,0.071286721,0.506622653,1.87599766,19.17261597,1007.099048,10656235876,48842231508,300118340.9,6833
273,62.59793713,0.058484597,0.61123086,0.359965071,17.96135485,941.1384887,9958299285,36710867053,424819156.7,6775.5
274,67.7911856,0.053949536,0.486046166,1.744717913,21.50108207,944.5299939,9994185209,70354655989,205918798.6,2741.25
275,45.43364161,0.058733341,0.530032207,1.076010349,19.20082458,924.9331073,9786828201,47897874538,283049827.2,6772.25
276,72.82661787,0.049983028,0.604814246,1.033693719,15.86862765,1099.800054,11637116348,20138367895,304180861.8,6774.75
277,15.74108924,0.065653473,0.531461811,0.4052182,18.31033185,897.6264134,9497892796,40656560804,465631552.1,6812.75
278,53.4181171,0.039240835,0.733528907,1.342500079,21.34979582,987.7314778,10451305294,66077110285,268963484.8,2875
279,64.74984677,0.031742318,0.628410976,0.861271936,19.6912355,1073.346191,11357204845,48342872435,297491501.4,6271
280,50.59353588,0.052565354,0.826050076,1.706350289,16.29749488,895.8850887,9479467630,23798960692,271025244.9,6835.75
281,43.67519529,0.07695302,0.477028525,1.222169024,17.72409847,795.9854881,8422417967,37201910405,259743323,6913.25
282,83.97095922,0.059329647,0.623433682,1.523808592,20.47226311,951.5730152,10068708263,60204222153,241692736.8,5090.25
283,28.3193028,0.057576435,0.557505401,1.045965304,20.05354099,765.0142899,8094708003,56528058811,277211568.9,6050
284,60.88631908,0.070021968,0.461413565,0.5324046,20.96425581,928.1951042,9821343781,66166916664,361914901.2,4177
285,42.86506004,0.036931999,0.745065115,1.549015944,19.22859592,1062.33169,11240659096,45081769398,286950094.3,6667.75
286,48.30775677,0.062814393,0.601413648,1.800737311,20.38836296,853.7475861,9033605658,60289905719,237758542.5,5356.75
287,80.0279325,0.057161249,0.725503392,1.022028732,17.83689471,1126.017652,11914527897,35100182799,357834959.4,6776.5
288,87.55252931,0.072354605,0.503634642,0.733551675,23.03342755,864.097489,9143119222,88823324173,322776599.1,152
289,52.03286079,0.039713315,0.661711803,1.439186454,19.52096698,1119.71775,11847867874,47894038029,284674973.8,6539.5
290,1.670224594,0.043654073,0.472169487,0.319018446,17.50108992,995.8173387,10536862758,31791851705,482961404.9,6749
291,17.44815782,0.055546694,0.610590057,1.133266492,21.89000679,920.6373702,10607532765,56787988428,302940606.8,6534.5
292,40.99326888,0.088786277,0.414750514,1.45065088,19.83226194,1002.496216,9741374490,74328829961,335197427.4,1660.25
293,54.4864183,0.064280834,0.423643045,1.77114313,17.48519823,989.8656156,10473886862,33721427637,229850586.4,6884.75
294,2.240608667,0.082890756,0.692022583,2.065177293,15.78312484,939.7760704,9943883374,22273135674,327282443.3,6922.75
295,11.43356035,0.052351123,0.403226815,0.890209039,20.564312,833.6013729,8820436159,60782283993,293432611.6,4930.5
296,28.89082507,0.054175141,0.454268816,1.334865998,19.72658679,1234.221252,13059443175,51314576723,348393013.4,6402.75
297,77.09189308,0.047491498,0.371093089,1.686179844,18.2735368,1010.728668,10694641321,38445404690,183347407.1,6844
298,68.83109492,0.054992571,0.554541073,0.212457854,21.15971029,1044.370754,11050612269,65548200122,490233181.4,3650.25
299,51.30060687,0.041611371,0.571579214,1.983265712,19.5923335,1058.815917,11203458271,49246952901,232747094.3,6564.5
